ClassName,RegionSeriesName,RegionType,Source,SourceType,IxName,key
HousePriceIx,"Gainesville, FL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),130
HousePriceIx,"Gainesville, GA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),131
HousePriceIx,"Gary, IN  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),132
HousePriceIx,"Glens Falls, NY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),133
HousePriceIx,"Goldsboro, NC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),134
HousePriceIx,"Grand Forks, ND-MN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),135
HousePriceIx,"Grand Junction, CO",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),136
HousePriceIx,"Grand Rapids-Wyoming, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),137
HousePriceIx,"Great Falls, MT",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),138
HousePriceIx,"Greeley, CO",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),139
HousePriceIx,"Green Bay, WI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),140
HousePriceIx,"Greensboro-High Point, NC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),141
HousePriceIx,"Greenville, NC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),142
HousePriceIx,"Greenville-Mouldin-Easley, SC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),143
HousePriceIx,"Gulfport-Biloxi, MS",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),144
HousePriceIx,"Hagerstown-Martinsburg, MD-WV",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),145
HousePriceIx,"Hanford-Corcoran, CA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),146
HousePriceIx,"Harrisburg-Carlisle, PA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),147
HousePriceIx,"Harrisonburg, VA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),148
HousePriceIx,"Hartford-West Hartford-East Hartford, CT",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),149
HousePriceIx,"Hattiesburg, MS",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),150
HousePriceIx,"Hickory-Lenoir-Morganton, NC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),151
HousePriceIx,"Hinesville-Fort Stewart, GA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),152
HousePriceIx,"Holland-Grand Haven, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),153
HousePriceIx,"Honolulu, HI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),154
HousePriceIx,"Hot Springs, AR",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),155
HousePriceIx,"Houma-Bayou Cane-Thibodaux, LA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),156
HousePriceIx,"Houston-Sugar Land-Baytown, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),157
HousePriceIx,"Huntington-Ashland, WV-KY-OH",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),158
HousePriceIx,"Huntsville, AL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),159
HousePriceIx,"Idaho Falls, ID",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),160
HousePriceIx,"Indianapolis-Carmel, IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),161
HousePriceIx,"Iowa City, IA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),162
HousePriceIx,"Ithaca, NY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),163
HousePriceIx,"Jackson, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),164
HousePriceIx,"Jackson, MS",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),165
HousePriceIx,"Jackson, TN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),166
HousePriceIx,"Jacksonville, FL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),167
HousePriceIx,"Jacksonville, NC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),168
HousePriceIx,"Janesville, WI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),169
HousePriceIx,"Jefferson City, MO",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),170
HousePriceIx,"Johnson City, TN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),171
HousePriceIx,"Johnstown, PA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),172
HousePriceIx,"Jonesboro, AR",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),173
HousePriceIx,"Joplin, MO",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),174
HousePriceIx,"Kalamazoo-Portage, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),175
HousePriceIx,"Kankakee-Bradley, IL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),176
HousePriceIx,"Kansas City, MO-KS",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),177
HousePriceIx,"Kennewick-Pasco-Richland, WA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),178
HousePriceIx,"Killeen-Temple-Fort Hood, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),179
HousePriceIx,"Kingsport-Bristol-Bristol, TN-VA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),180
HousePriceIx,"Kingston, NY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),181
HousePriceIx,"Knoxville, TN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),182
HousePriceIx,"Kokomo, IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),183
HousePriceIx,"La Crosse, WI-MN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),184
HousePriceIx,"Lafayette, IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),185
HousePriceIx,"Lafayette, LA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),186
HousePriceIx,"Lake Charles, LA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),187
HousePriceIx,"Lake County-Kenosha County, IL-WI  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),188
HousePriceIx,"Lake Havasu City-Kingman, AZ",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),189
HousePriceIx,"Lakeland-Winter Haven, FL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),190
HousePriceIx,"Lancaster, PA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),191
HousePriceIx,"Lansing-East Lansing, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),192
HousePriceIx,"Laredo, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),193
HousePriceIx,"Las Cruces, NM",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),194
HousePriceIx,"Las Vegas-Paradise, NV",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),195
HousePriceIx,"Lawrence, KS",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),196
HousePriceIx,"Lawton, OK",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),197
HousePriceIx,"Lebanon, PA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),198
HousePriceIx,"Lewiston, ID-WA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),199
HousePriceIx,"Lewiston-Auburn, ME",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),200
HousePriceIx,"Lexington-Fayette, KY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),201
HousePriceIx,"Lima, OH",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),202
HousePriceIx,"Lincoln, NE",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),203
HousePriceIx,"Little Rock-North Little Rock-Conway, AR",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),204
HousePriceIx,"Logan, UT-ID",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),205
HousePriceIx,"Longview, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),206
HousePriceIx,"Longview, WA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),207
HousePriceIx,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),208
HousePriceIx,"Louisville-Jefferson County, KY-IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),209
HousePriceIx,"Lubbock, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),210
HousePriceIx,"Lynchburg, VA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),211
HousePriceIx,"Macon, GA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),212
HousePriceIx,"Madera-Chowchilla, CA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),213
HousePriceIx,"Madison, WI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),214
HousePriceIx,"Manchester-Nashua, NH",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),215
HousePriceIx,"Manhattan, KS",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),216
HousePriceIx,"Mankato-North Mankato, MN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),217
HousePriceIx,"Mansfield, OH",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),218
HousePriceIx,"McAllen-Edinburg-Mission, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),219
HousePriceIx,"Medford, OR",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),220
HousePriceIx,"Memphis, TN-MS-AR",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),221
HousePriceIx,"Merced, CA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),222
HousePriceIx,"Miami-Miami Beach-Kendall, FL  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),223
HousePriceIx,"Michigan City-La Porte, IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),224
HousePriceIx,"Midland, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),225
HousePriceIx,"Milwaukee-Waukesha-West Allis, WI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),226
HousePriceIx,"Minneapolis-St. Paul-Bloomington, MN-WI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),227
HousePriceIx,"Missoula, MT",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),228
HousePriceIx,"Mobile, AL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),229
HousePriceIx,"Modesto, CA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),230
HousePriceIx,"Monroe, LA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),231
HousePriceIx,"Monroe, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),232
HousePriceIx,"Montgomery, AL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),233
HousePriceIx,"Morgantown, WV",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),234
HousePriceIx,"Morristown, TN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),235
HousePriceIx,"Mount Vernon-Anacortes, WA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),236
HousePriceIx,"Muncie, IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),237
HousePriceIx,"Muskegon-North Shores, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),238
HousePriceIx,"Myrtle Beach-North Myrtle Beach-Conway, SC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),239
HousePriceIx,"Napa, CA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),240
HousePriceIx,"Naples-Marco Island, FL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),241
HousePriceIx,"Nashville-Davidson--Murfreesboro--Franklin, TN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),242
HousePriceIx,"Nassau-Suffolk, NY  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),243
HousePriceIx,"Newark-Union, NJ-PA  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),244
HousePriceIx,"New Haven-Milford, CT",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),245
HousePriceIx,"New Orleans-Metairie-Kenner, LA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),246
HousePriceIx,"New York-White Plains-Wayne, NY-NJ  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),247
HousePriceIx,"Niles-Benton Harbor, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),248
HousePriceIx,"North Port-Bradenton-Sarasota, FL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),249
HousePriceIx,"Norwich-New London, CT",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),250
HousePriceIx,"Oakland-Fremont-Hayward, CA  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),251
HousePriceIx,"Ocala, FL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),252
HousePriceIx,"Ocean City, NJ",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),253
HousePriceIx,"Odessa, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),254
HousePriceIx,"Ogden-Clearfield, UT",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),255
